aX,aY,aZ,gX,gY,gZ
0.388,0.009,0.5,7.629,19.714,48.645
0.502,0.046,0.472,7.141,21.851,56.885
0.651,0.155,0.548,4.761,23.376,58.838
0.913,0.306,0.726,3.845,25.757,58.411
1.163,0.308,0.703,6.042,33.325,53.955
1.257,0.246,0.659,9.827,32.227,51.392
1.176,0.285,0.646,11.108,13.367,56.641
0.745,0.265,0.522,10.559,-12.207,61.401
0.332,0.208,0.332,6.165,-24.902,68.481
0.3,0.16,0.096,-0.122,-12.085,71.35
0.677,0.268,0.063,-10.681,11.841,64.758
1.355,0.583,0.336,-18.921,25.757,53.894
1.375,0.766,0.461,-21.851,9.766,44.556
1.149,0.599,0.582,-13.306,-32.532,52.002
0.789,0.523,0.607,-4.883,-61.523,62.195
0.761,0.525,0.59,-7.874,-53.833,50.537
0.872,0.617,0.536,-12.878,-23.621,29.419
1.065,0.711,0.548,-15.747,0.0,18.982
1.202,0.747,0.551,-13.367,7.568,16.052
1.101,0.715,0.49,-11.23,8.606,12.756
1.009,0.638,0.436,-10.254,10.925,5.554
1.014,0.626,0.435,-10.071,13.367,-1.709
1.071,0.617,0.461,-9.521,13.55,-8.484
1.14,0.653,0.553,-8.484,8.179,-15.808
1.157,0.576,0.594,-6.409,1.16,-24.719
1.051,0.564,0.655,-2.197,-3.54,-27.771
1.035,0.573,0.76,0.427,-3.723,-31.616
1.038,0.493,0.753,2.563,5.31,-41.748
1.046,0.474,0.695,4.272,15.442,-45.166
1.052,0.417,0.607,6.165,18.921,-47.363
1.081,0.394,0.58,8.118,16.846,-49.744
1.107,0.373,0.59,9.155,13.489,-56.152
1.017,0.305,0.551,10.681,11.414,-59.204
0.865,0.28,0.478,11.353,8.057,-55.786
0.779,0.247,0.458,10.193,7.08,-57.251
0.713,0.169,0.389,7.935,13.855,-62.195
0.602,0.156,0.286,4.578,19.226,-60.547
0.607,0.128,0.294,2.869,12.939,-59.265
0.642,0.081,0.387,2.563,1.038,-62.256
0.538,0.071,0.494,2.747,-8.789,-59.082
0.433,0.012,0.552,4.578,-16.296,-46.997
0.326,-0.031,0.545,6.348,-18.066,-35.095
0.291,-0.05,0.53,5.493,-15.076,-29.541
0.284,-0.031,0.529,3.906,-12.085,-24.048
0.233,-0.057,0.523,4.211,-14.16,-13.977
0.197,-0.091,0.532,5.31,-19.287,-4.7
0.298,-0.04,0.612,4.944,-18.005,-0.183
0.405,0.018,0.657,4.028,-9.155,1.465
0.458,0.023,0.688,4.639,-2.014,7.385
0.515,0.016,0.693,7.263,1.892,16.357
0.591,0.029,0.674,8.911,5.859,21.484
0.559,0.069,0.635,9.277,11.414,24.17
0.557,0.081,0.579,9.46,15.32,30.151
0.599,0.056,0.537,10.986,18.311,37.476
0.619,0.083,0.5,10.437,20.325,41.87
0.653,0.143,0.476,7.568,21.057,42.969
0.652,0.178,0.421,5.066,20.63,46.387
0.849,0.222,0.461,3.296,18.86,49.561
1.207,0.348,0.622,3.601,18.738,46.143
1.141,0.426,0.549,3.845,15.686,38.086
0.91,0.349,0.527,5.615,-0.793,40.71
0.663,0.238,0.431,9.277,-14.893,51.941
0.522,0.181,0.267,6.348,-11.658,51.453
0.824,0.25,0.301,-2.258,1.709,42.969
1.289,0.53,0.518,-7.263,15.015,35.461
1.191,0.582,0.534,-8.24,10.681,28.32
0.862,0.45,0.583,-2.991,-13.794,36.621
0.709,0.363,0.56,0.977,-25.146,46.509
0.822,0.423,0.51,-2.93,-10.498,35.095
1.004,0.619,0.496,-9.521,12.024,17.456
1.207,0.715,0.502,-10.498,21.484,11.78
1.22,0.644,0.465,-5.737,16.418,12.451
1.095,0.545,0.408,-3.723,9.277,7.141
1.045,0.526,0.427,-5.188,5.676,-3.174
1.095,0.568,0.474,-6.348,4.761,-12.695
1.149,0.61,0.539,-5.066,1.953,-19.104
1.119,0.565,0.567,-2.502,-4.7,-25.635
1.056,0.505,0.589,0.916,-11.108,-27.527
1.08,0.481,0.656,3.906,-13.306,-29.541
1.021,0.484,0.691,4.7,-12.146,-38.269
1.032,0.455,0.665,6.348,-6.409,-41.87
1.113,0.438,0.617,8.301,2.563,-44.067
1.125,0.412,0.579,7.385,8.423,-50.171
1.051,0.371,0.514,6.165,10.498,-54.749
0.933,0.297,0.426,5.676,11.047,-54.077
0.822,0.273,0.376,3.479,12.695,-54.626
0.684,0.153,0.281,0.916,17.639,-57.861
0.564,0.078,0.194,-2.136,19.409,-52.856
0.58,0.142,0.255,-5.737,13.55,-52.002
0.608,0.026,0.351,-8.545,7.507,-64.758
0.505,0.049,0.429,-9.033,4.028,-59.387
0.493,-0.023,0.475,-7.385,-0.549,-45.349
0.378,-0.03,0.509,-5.31,-4.639,-32.715
0.313,-0.057,0.523,-5.554,-7.812,-27.344
0.236,-0.081,0.52,-5.066,-10.254,-18.799
0.148,-0.124,0.509,-3.662,-13.855,-8.118
0.137,-0.092,0.554,-2.991,-16.235,1.221
0.252,-0.038,0.648,-1.526,-12.634,6.653
0.397,0.003,0.737,1.282,-5.798,10.986
0.458,0.057,0.811,5.92,-0.793,18.86
0.507,0.055,0.83,10.62,0.61,28.381
0.509,0.044,0.77,14.893,3.235,35.461
0.485,0.025,0.653,15.625,6.47,39.673
0.516,0.032,0.616,15.564,6.409,44.678
0.581,0.086,0.579,14.954,5.31,49.5
0.691,0.137,0.618,14.282,5.005,50.598
0.884,0.182,0.641,13.977,14.465,48.401
1.114,0.164,0.575,13.611,25.818,44.006
1.197,0.192,0.622,15.686,21.484,43.701
0.897,0.241,0.521,15.137,3.906,50.903
0.534,0.171,0.434,13.794,-13.733,60.486
0.275,0.112,0.244,10.62,-8.118,66.956
0.409,0.145,0.059,0.061,14.709,63.477
1.045,0.357,0.12,-11.353,35.95,54.749
1.603,0.619,0.219,-17.944,40.955,42.786
1.665,0.704,0.326,-18.372,9.827,36.865
1.556,0.596,0.45,-10.681,-46.448,47.852
1.306,0.585,0.528,-7.935,-93.506,51.819
1.006,0.669,0.586,-11.658,-103.577,36.499
0.911,0.741,0.563,-15.808,-79.712,17.09
0.948,0.751,0.524,-17.212,-42.847,4.517
0.944,0.68,0.434,-15.991,-14.893,-3.113
0.926,0.634,0.406,-15.747,-4.517,-10.193
0.927,0.586,0.425,-15.015,-2.136,-17.029
0.944,0.535,0.481,-13.794,-2.075,-22.888
0.967,0.535,0.574,-11.536,-3.967,-26.794
1.032,0.495,0.624,-8.728,-6.775,-31.311
1.084,0.507,0.671,-5.92,-9.521,-34.424
1.114,0.528,0.719,-3.906,-10.742,-37.842
1.076,0.493,0.692,-1.709,-6.653,-41.504
1.048,0.45,0.642,1.343,0.366,-41.077
1.046,0.399,0.601,3.052,4.333,-42.786
1.019,0.39,0.59,3.235,5.981,-48.035
0.951,0.348,0.535,2.869,8.545,-53.406
0.827,0.27,0.429,2.38,10.559,-52.917
0.767,0.291,0.42,0.366,10.132,-51.697
0.69,0.199,0.384,-1.587,11.292,-56.641
0.529,0.151,0.267,-4.883,11.536,-54.688
0.473,0.113,0.25,-8.545,5.005,-49.927
0.537,0.055,0.342,-10.132,-2.747,-53.528
0.49,0.088,0.438,-12.329,-6.897,-57.678
0.422,0.071,0.514,-12.756,-12.512,-50.11
0.377,-0.048,0.542,-9.277,-18.799,-35.828
0.323,-0.056,0.559,-6.897,-23.682,-24.536
0.282,-0.049,0.574,-6.409,-29.297,-19.409
0.254,-0.055,0.633,-3.052,-37.903,-11.169
0.362,-0.059,0.754,1.892,-44.983,-2.075
0.468,-0.007,0.856,5.737,-45.593,3.845
0.442,0.035,0.919,8.545,-42.053,9.644
0.372,0.023,0.957,13.0,-34.424,18.86
0.283,0.018,0.922,16.968,-18.311,26.733
0.298,0.009,0.872,18.372,3.113,29.846
