aX,aY,aZ,gX,gY,gZ
0.421,0.026,0.87,-4.456,-10.071,-18.433
0.259,0.036,1.001,-6.104,-28.076,-20.508
-0.013,-0.012,1.087,-6.348,-33.63,-18.921
-0.145,-0.107,1.15,-3.723,-27.405,-10.376
-0.131,-0.102,1.139,-1.16,-9.705,-7.141
-0.105,-0.103,1.097,-0.854,12.451,-5.859
-0.003,-0.094,1.032,-0.671,28.564,1.709
0.105,-0.117,0.958,-0.61,34.912,5.188
0.223,-0.081,0.943,-2.441,35.095,4.028
0.267,-0.036,0.91,-4.333,32.104,1.648
0.298,-0.002,0.867,-5.005,28.076,1.831
0.328,-0.027,0.82,-4.639,22.156,4.15
0.307,-0.066,0.798,-5.737,13.611,6.104
0.28,-0.08,0.801,-7.996,5.188,6.958
0.219,-0.083,0.816,-9.888,-1.892,7.141
0.141,-0.105,0.839,-11.047,-7.996,10.315
0.079,-0.131,0.848,-10.803,-11.414,14.526
-0.046,-0.152,0.83,-11.169,-11.292,17.822
-0.068,-0.172,0.817,-12.268,-7.69,23.254
-0.11,-0.153,0.81,-12.756,-0.427,28.503
-0.061,-0.116,0.815,-12.878,6.592,32.532
0.031,-0.128,0.826,-12.817,9.583,37.72
0.131,-0.108,0.867,-13.611,6.592,44.128
0.24,-0.04,0.957,-15.442,0.61,50.842
0.432,0.056,1.134,-17.151,-6.287,56.091
0.558,0.222,1.096,-17.273,-7.629,57.19
0.462,0.21,1.101,-15.198,-11.292,53.04
0.327,0.113,1.146,-14.343,-20.264,52.612
0.354,0.177,1.156,-13.184,-21.24,49.194
0.536,0.294,1.197,-9.949,-11.292,38.94
0.722,0.317,1.193,-5.615,-3.418,31.372
0.827,0.32,1.176,-2.014,-4.089,25.391
0.845,0.35,1.2,0.061,-10.864,16.357
0.877,0.364,1.222,3.235,-17.822,5.371
0.896,0.355,1.237,6.348,-22.766,-4.15
0.781,0.271,1.219,11.353,-28.32,-13.428
0.586,0.085,1.182,15.747,-34.302,-19.287
0.423,-0.008,1.153,18.677,-34.241,-22.278
0.339,0.0,1.118,20.935,-24.414,-25.818
0.355,-0.152,1.04,23.132,-9.644,-26.55
0.352,-0.344,0.965,25.696,-1.282,-13.428
0.521,0.356,0.926,23.987,0.122,4.578
0.485,0.23,0.846,21.484,6.104,-20.935
0.62,0.182,0.858,21.301,10.315,-37.048
0.694,0.203,0.912,22.095,4.822,-50.964
0.503,-0.093,0.845,23.437,-2.991,-60.059
-0.264,-1.238,0.694,31.616,-18.494,-15.869
-0.505,1.162,0.541,18.799,-33.691,56.824
-0.837,0.104,0.607,-0.671,-13.672,-49.133
-0.077,-0.29,0.753,6.165,47.363,-76.843
0.036,-0.047,0.709,0.549,75.378,-63.599
0.204,0.076,0.708,-5.371,72.327,-40.771
0.388,-0.098,0.744,0.0,65.43,-29.419
0.579,-0.001,0.831,0.916,43.396,-26.428
0.539,0.093,0.912,-0.244,9.766,-17.944
0.318,0.067,0.993,-0.61,-22.705,-12.146
0.068,0.029,1.089,-1.038,-38.818,-13.367
-0.115,-0.014,1.132,0.549,-33.936,-13.245
-0.114,-0.052,1.129,4.211,-15.381,-9.033
-0.064,-0.037,1.084,5.432,7.751,-6.958
-0.011,-0.041,1.032,5.005,28.259,-5.249
0.095,-0.075,0.988,4.578,40.649,-2.808
0.171,-0.093,0.965,3.845,42.297,-1.404
0.185,-0.111,0.905,2.441,35.278,-0.244
0.267,-0.091,0.849,0.366,25.452,0.793
0.334,-0.058,0.824,-1.099,18.127,0.977
0.318,-0.051,0.823,-3.723,12.573,2.197
0.258,-0.077,0.849,-6.226,5.981,4.944
0.135,-0.082,0.865,-7.751,0.366,6.104
0.094,-0.084,0.898,-7.874,-2.563,7.629
0.082,-0.064,0.932,-6.592,-2.319,10.986
0.061,-0.078,0.95,-5.31,-1.831,14.954
-0.039,-0.101,0.895,-3.357,-1.526,19.653
-0.045,-0.138,0.893,-2.197,-0.793,24.658
-0.101,-0.191,0.851,-2.075,4.883,28.503
-0.046,-0.151,0.824,-3.54,13.367,32.837
0.082,-0.138,0.817,-4.333,19.47,38.757
0.262,-0.11,0.808,-4.883,18.555,44.678
0.328,-0.098,0.813,-7.385,10.925,50.354
0.592,-0.026,0.993,-10.864,0.183,55.237
0.762,0.128,1.02,-11.963,-5.249,53.162
0.645,0.22,1.057,-12.268,-15.747,47.791
0.432,0.089,1.137,-11.963,-33.936,49.011
0.352,0.122,1.175,-9.827,-41.809,48.096
0.477,0.237,1.175,-5.615,-33.081,39.185
0.645,0.238,1.195,-0.977,-21.851,30.212
0.783,0.24,1.183,3.479,-17.212,23.193
0.875,0.281,1.196,5.676,-16.968,15.015
0.924,0.3,1.183,7.996,-18.494,3.601
0.996,0.277,1.185,11.047,-19.653,-7.08
0.894,0.208,1.142,14.648,-24.17,-18.127
0.723,0.082,1.089,16.235,-30.884,-26.489
0.547,0.046,1.059,16.724,-30.701,-31.86
0.45,0.011,1.031,17.578,-21.545,-37.354
0.494,-0.164,1.008,19.348,-8.606,-38.574
0.539,0.175,1.059,20.508,-0.427,-32.41
0.617,0.212,1.072,21.057,5.066,-43.884
0.525,0.139,1.047,23.56,8.606,-57.129
0.43,0.058,1.035,26.367,6.348,-62.866
0.183,-0.434,0.887,30.273,5.31,-66.162
-0.834,-1.009,0.553,34.241,1.038,-14.526
-0.551,0.912,0.452,13.55,-3.113,40.1
-0.345,0.089,0.509,5.92,37.598,-61.035
0.2,-0.239,0.581,9.705,84.961,-75.073
0.547,-0.067,0.655,5.676,82.031,-50.415
0.692,0.086,0.786,5.31,52.734,-32.227
0.726,0.096,0.907,7.996,19.531,-26.917
0.538,0.066,1.002,7.324,-16.968,-32.043
0.051,0.008,1.039,6.104,-41.931,-31.616
-0.414,-0.156,1.051,6.348,-43.518,-27.161
-0.355,-0.179,1.083,8.972,-23.437,-21.606
-0.175,-0.111,1.044,10.803,11.78,-19.897
-0.053,-0.082,0.97,10.803,45.654,-15.259
0.242,-0.16,0.976,11.902,62.866,-5.676
0.255,-0.171,0.895,11.169,64.636,-1.648
0.241,-0.203,0.816,7.202,54.565,-0.977
0.226,-0.19,0.716,4.761,39.612,2.441
0.246,-0.121,0.674,0.916,23.56,3.052
0.279,-0.085,0.714,-3.174,12.573,2.991
0.283,-0.061,0.766,-6.042,7.141,2.991
0.267,-0.077,0.806,-8.545,3.784,2.197
0.23,-0.096,0.839,-10.498,-0.244,2.319
0.178,-0.078,0.874,-11.78,-3.54,2.808
